crc32,savetype_code,rtc,description
fd814097,1,0,"Disney's Brother Bear (Europe, French / German / Italian / Spanish / Dutch /
			Danish / Swedish)"
6220a4b8,1,0,"Disney's Brother Bear (Europe, English)"
342de1d6,1,0,Brother Bear (USA)
b5ff39dc,1,0,Bruce Lee - Return of the Legend (Europe)
b2a45a4c,1,0,Bruce Lee - Return of the Legend (USA)
dfa1a201,1,0,Bubble Bobble - Old & New (Europe)
be9fd5e7,1,0,Bubble Bobble - Old & New (Japan)
feec503c,1,0,Bubble Bobble - Old & New (USA)
4d2a1d88,1,0,Buffy - Im Bann der Dämonen (Germany)
339c7586,1,0,Buffy contre les Vampires (France)
f5c85beb,1,0,"Buffy the Vampire Slayer (Europe, USA)"
89b09753,3,0,Bura Bura Donkey (Japan)
7cff011a,0,0,Butt-Ugly Martians - B.K.M. Battles (Europe)
74be9148,0,0,Butt-Ugly Martians - B.K.M. Battles (USA)
ed2eb57d,1,0,Cabbage Patch Kids - The Patch Puppy Rescue (Europe)
c812a494,1,0,Cabbage Patch Kids - The Patch Puppy Rescue (USA)
70a8a141,0,0,Cabela's Big Game Hunter (USA)
bd054567,1,0,"Cabela's Big Game Hunter - 2005 Adventures (Europe, USA)"
13dc0731,0,0,"Caesars Palace Advance - Millennium Gold Edition (USA, prototype)"
5d54ece5,0,0,"Caesars Palace Advance - Millennium Gold Edition (Europe, USA)"
498443da,5,0,Calciobit (Japan)
37de9a3d,1,0,Camp Lazlo - Leaky Lake Games (Europe)
40c2894e,1,0,Camp Lazlo - Leaky Lake Games (USA)
0bb2d391,0,0,Capcom Classics Mini Mix (USA)
5341b274,3,0,Captain Tsubasa - Eikou no Kiseki (Japan)
176da49f,0,0,"Captain Harlock (Europe, prototype demo)"
ea0a1b94,2,0,Car Battler Joe (USA)
3d5a2c07,0,0,Card Party (Japan)
dbc9cd2e,2,0,Cardcaptor Sakura - Sakura Card de Mini Game (Japan)
d5bb189c,1,0,Cardcaptor Sakura - Sakura Card Hen - Sakura to Card to Otomodachi (Japan)
6111ed1e,1,0,Care Bears - The Care Quests (Europe)
f848c327,1,0,Care Bears - The Care Quests (USA)
98d72420,1,0,Carrera Power Slide (Europe)
0b058db2,1,0,"Disney/Pixar Cars (Europe, Spanish / Portuguese)"
bd1bfc39,1,0,"Cars (Europe, French / Dutch)"
4f21fd49,1,0,"Cars (Europe, Danish / Finnish / Norwegian / Swedish)"
ebd92f43,1,0,Cars (Germany)
6d4de0ee,1,0,Disney Pixar Cars (Japan)
107639a8,1,0,"Cars (Europe, USA)"
d3db9787,0,0,Disney/Pixar Cars - Mater-National Championship (Europe)
189da289,0,0,Disney Pixar Cars - Mater-National Championship (USA)
